NameTag,InstanceId,AmiName
USEAHyperthreadingAutomationTest,i-06f2fecb5e691eff6,USEAHyperthreadingAutomationTest_Testing101823
USEAHyperthreadingAutomationTest,i-06f2fecb5e691eff6,USEAHyperthreadingAutomationTest_Testing101823-22
